"Hillnumber","_Section","Hillname","Section","Region","Area","Metres","Feet","Map","Map25","Gridref","Colgridref","Colheight","Drop","Gridref10","Feature","Observations","Survey","Climbed","Classification","Countyname","Revision","Comments","xcoord","ycoord","Latitude","Longitude","Streetmap","Getamap","Ma","sMa","xMa","twinMa","xsMa","M","MT","xMT","C","CTM","CTC","xC","xCT","G","GTM","GTC","GTG","sG","D","DT","xDT","Mur","sMur","Hew","sHew","N","xN","W","WO","BL","Dewey","x5","B","Hu","xHu","twinHu","Bg","T100","COH","COA","COU","CoL"
"79","1.4","The Cobbler [Ben Arthur]","1D","M01D","","884","2900","56","364S","NN259058","NN262066","628","256","NN 25951 05819","summit rock pinnacle","","","","Ma,C","","28/10/01 00:00:00","","225947","705826","56.21307","-4.80813","#http://www.streetmap.co.uk/newmap.srf?x=225947&y=705826&z=3&sv=225947,705826&st=4&tl=~&bi=~&lu=N&ar=y#","#http://getamap.ordnancesurvey.co.uk/getamap/frames.htm?mapAction=gaz&gazName=g&gazString=NN259058#","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0"
"80","1.4","Beinn Chuirn","1D","M01D","","880","2887","50","364N 377E","NN280292","NN264278","434","446","NN 28033 29225","cairn","","","","Ma,C","","28/10/01 00:00:00","","228029","729233","56.42387","-4.78989","#http://www.streetmap.co.uk/newmap.srf?x=228029&y=729233&z=3&sv=228029,729233&st=4&tl=~&bi=~&lu=N&ar=y#","#http://getamap.ordnancesurvey.co.uk/getamap/frames.htm?mapAction=gaz&gazName=g&gazString=NN280292#","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"81","1.4","Beinn Luibhean","1D","M01D","","858","2815","56","363N 364S","NN242079","NN249078","675","183","NN 24285 07913","boulder","","","","Ma,C","","28/10/01 00:00:00","","224281","707920","56.23125","-4.83634","#http://www.streetmap.co.uk/newmap.srf?x=224281&y=707920&z=3&sv=224281,707920&st=4&tl=~&bi=~&lu=N&ar=y#","#http://getamap.ordnancesurvey.co.uk/getamap/frames.htm?mapAction=gaz&gazName=g&gazString=NN242079#","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"82","1.4","Stob Coire Creagach [Binnein an Fhidhleir]","1D","M01D","","817","2680","50 56","363N 364S","NN230109","NN265131","313","504","NN 23067 10911","cairn","rock immediately by cairn is highest point","Abney level","","Ma,C","","28/10/01 00:00:00","","223063","710918","56.2577","-4.85797","#http://www.streetmap.co.uk/newmap.srf?x=223063&y=710918&z=3&sv=223063,710918&st=4&tl=~&bi=~&lu=N&ar=y#","#http://getamap.ordnancesurvey.co.uk/getamap/frames.htm?mapAction=gaz&gazName=g&gazString=NN230109#","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"83","1.4","Meall an Fhudair","1D","M01D","","764","2507","50 56","364N","NN270192","NN278180","382","382","NN 27071 19233","cairn","","","","Ma,C","","15/01/03 00:00:00","","227067","719241","56.33386","-4.79888","#http://www.streetmap.co.uk/newmap.srf?x=227067&y=719241&z=3&sv=227067,719241&st=4&tl=~&bi=~&lu=N&ar=y#","#http://getamap.ordnancesurvey.co.uk/getamap/frames.htm?mapAction=gaz&gazName=g&gazString=NN270192#","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"84","1.4","Meall nan Gabhar","1D","M01D","","744","2441","50","364N","NN235240","NN243239","479","265","NN 23571 24020","rock in centre of grassy summit","","","","Ma,G","","28/10/01 00:00:00","","223567","724028","56.37552","-4.85863","#http://www.streetmap.co.uk/newmap.srf?x=223567&y=724028&z=3&sv=223567,724028&st=4&tl=~&bi=~&lu=N&ar=y#","#http://getamap.ordnancesurvey.co.uk/getamap/frames.htm?mapAction=gaz&gazName=g&gazString=NN235240#","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"85","1.4","Meall nan Gabhar (old GR)","1D","M01D","","743","2438","50","364N","NN235242","","726","17","","","","","","xMa","","28/10/01 00:00:00","Marilyn relocated to hill 84 which has always been the Graham","223500","724200","56.37704","-4.85982","#http://www.streetmap.co.uk/newmap.srf?x=223500&y=724200&z=3&sv=223500,724200&st=4&tl=~&bi=~&lu=N&ar=y#","#http://getamap.ordnancesurvey.co.uk/getamap/frames.htm?mapAction=gaz&gazName=g&gazString=NN235242#","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"86","1.4","Beinn Damhain","1D","M01D","","684","2244","50 56","364N","NN282173","NN251133","464","220","NN 28222 17290","cairn","","","","Ma,G","","28/10/01 00:00:00","","228218","717297","56.31683","-4.77901","#http://www.streetmap.co.uk/newmap.srf?x=228218&y=717297&z=3&sv=228218,717297&st=4&tl=~&bi=~&lu=N&ar=y#","#http://getamap.ordnancesurvey.co.uk/getamap/frames.htm?mapAction=gaz&gazName=g&gazString=NN282173#","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"87","1.4","Meall Odhar","1D","M01D","","656","2152","50","364N 377E","NN298298","NN289297","473","183","NN 29800 29841","cairn","","","","Ma,G","","28/10/01 00:00:00","","229796","729849","56.43004","-4.76168","#http://www.streetmap.co.uk/newmap.srf?x=229796&y=729849&z=3&sv=229796,729849&st=4&tl=~&bi=~&lu=N&ar=y#","#http://getamap.ordnancesurvey.co.uk/getamap/frames.htm?mapAction=gaz&gazName=g&gazString=NN298298#","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"88","1.4","Fiarach","1D","M01D","","652","2139","50","364N 377E","NN344261","NN319246","471","181","","","","","","Ma,G","","15/01/03 00:00:00","","234400","726100","56.39803","-4.68474","#http://www.streetmap.co.uk/newmap.srf?x=234400&y=726100&z=3&sv=234400,726100&st=4&tl=~&bi=~&lu=N&ar=y#","#http://getamap.ordnancesurvey.co.uk/getamap/frames.htm?mapAction=gaz&gazName=g&gazString=NN344261#","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"89","1.4","Beinn Bhalgairean","1D","M01D","","636","2087","50","364N","NN202241","NN215239","427","209","NN 20265 24101","large stone 7m S of cairn","","obvious summit","","Ma,G","","28/10/01 00:00:00","","220261","724109","56.375","-4.91214","#http://www.streetmap.co.uk/newmap.srf?x=220261&y=724109&z=3&sv=220261,724109&st=4&tl=~&bi=~&lu=N&ar=y#","#http://getamap.ordnancesurvey.co.uk/getamap/frames.htm?mapAction=gaz&gazName=g&gazString=NN202241#","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"90","1.4","Beinn Ghlas","1D","M01D","","550","1804","50 56","360N","NN131181","NN155200","295","255","NN 13112 18151","trig point: OS measurement","","","","Ma","","15/01/03 00:00:00","","213108","718159","56.31885","-5.02356","#http://www.streetmap.co.uk/newmap.srf?x=213108&y=718159&z=3&sv=213108,718159&st=4&tl=~&bi=~&lu=N&ar=y#","#http://getamap.ordnancesurvey.co.uk/getamap/frames.htm?mapAction=gaz&gazName=g&gazString=NN131181#","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"91","1.4","Cruach Tairbeirt","1D","M01D","","415","1362","56","364S","NN312058","NN308084","135","280","NN 31265 05864","rock 6m W of trig point","rock is 20cm higher than trig point base.  Knoll 50m E at NN 31320 05860 is 20cm lower than rock.","Abney level","","Ma","","28/10/01 00:00:00","","231261","705871","56.21539","-4.72258","#http://www.streetmap.co.uk/newmap.srf?x=231261&y=705871&z=3&sv=231261,705871&st=4&tl=~&bi=~&lu=N&ar=y#","#http://getamap.ordnancesurvey.co.uk/getamap/frames.htm?mapAction=gaz&gazName=g&gazString=NN312058#","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"92","1.4","Dun Corr-bhile","1D","M01D","","321","1053","50 56","360S 363N","NN103105","NN107127","176","145","NN 10321 10581","trig point: OS measurement","","","","sMa,Hu","","28/10/01 00:00:00","","210317","710588","56.24982","-5.06317","#http://www.streetmap.co.uk/newmap.srf?x=210317&y=710588&z=3&sv=210317,710588&st=4&tl=~&bi=~&lu=N&ar=y#","#http://getamap.ordnancesurvey.co.uk/getamap/frames.htm?mapAction=gaz&gazName=g&gazString=NN103105#","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"93","1.5","Doune Hill","1E","M01E","","734","2408","56","364S","NS290971","NN305041","39","695","NS 29065 97132","trig point: OS measurement","","","","Ma,G","","28/10/01 00:00:00","","229061","697139","56.13624","-4.75239","#http://www.streetmap.co.uk/newmap.srf?x=229061&y=697139&z=3&sv=229061,697139&st=4&tl=~&bi=~&lu=N&ar=y#","#http://getamap.ordnancesurvey.co.uk/getamap/frames.htm?mapAction=gaz&gazName=g&gazString=NS290971#","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"94","1.5","Beinn Chaorach","1E","M01E","","713","2339","56","347","NS287923","NS270955","332","381","NS 28748 92363","trig point: OS measurement","","","","Ma,G","","28/10/01 00:00:00","","228744","692370","56.09333","-4.75443","#http://www.streetmap.co.uk/newmap.srf?x=228744&y=692370&z=3&sv=228744,692370&st=4&tl=~&bi=~&lu=N&ar=y#","#http://getamap.ordnancesurvey.co.uk/getamap/frames.htm?mapAction=gaz&gazName=g&gazString=NS287923#","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"95","1.5","Beinn a'Mhanaich","1E","M01E","","709","2326","56","347 364S","NS269946","NS275935","351","358","","","","","","Ma,G","","28/10/01 00:00:00","","226900","694600","56.11268","-4.78547","#http://www.streetmap.co.uk/newmap.srf?x=226900&y=694600&z=3&sv=226900,694600&st=4&tl=~&bi=~&lu=N&ar=y#","#http://getamap.ordnancesurvey.co.uk/getamap/frames.htm?mapAction=gaz&gazName=g&gazString=NS269946#","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"96","1.5","Beinn Eich","1E","M01E","","703","2306","56","347 364S","NS302946","NS296954","544","159","","","","","","Ma,G","","28/10/01 00:00:00","","230200","694600","56.11386","-4.73247","#http://www.streetmap.co.uk/newmap.srf?x=230200&y=694600&z=3&sv=230200,694600&st=4&tl=~&bi=~&lu=N&ar=y#","#http://getamap.ordnancesurvey.co.uk/getamap/frames.htm?mapAction=gaz&gazName=g&gazString=NS302946#","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"97","1.5","Cruach an t-Sidhein","1E","M01E","","684","2244","56","364S","NS275965","NS281963","515","169","","","","","","Ma,G","","28/10/01 00:00:00","","227500","696500","56.12995","-4.77707","#http://www.streetmap.co.uk/newmap.srf?x=227500&y=696500&z=3&sv=227500,696500&st=4&tl=~&bi=~&lu=N&ar=y#","#http://getamap.ordnancesurvey.co.uk/getamap/frames.htm?mapAction=gaz&gazName=g&gazString=NS275965#","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"98","1.5","Beinn Bhreac","1E","M01E","","681","2234","56","364S","NN321000","NN273002","157","524","NN 32154 00063","rock within 1m of trig","","obvious summit","","Ma,G","","28/10/01 00:00:00","","232150","700070","56.16364","-4.7046","#http://www.streetmap.co.uk/newmap.srf?x=232150&y=700070&z=3&sv=232150,700070&st=4&tl=~&bi=~&lu=N&ar=y#","#http://getamap.ordnancesurvey.co.uk/getamap/frames.htm?mapAction=gaz&gazName=g&gazString=NN321000#","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"99","1.5","Beinn Dubh [Mid Hill]","1E","M01E","","657","2156","56","364S","NS321962","NS306964","227","430","","","","","","Ma,G","","15/01/03 00:00:00","","232100","696200","56.12889","-4.70296","#http://www.streetmap.co.uk/newmap.srf?x=232100&y=696200&z=3&sv=232100,696200&st=4&tl=~&bi=~&lu=N&ar=y#","#http://getamap.ordnancesurvey.co.uk/getamap/frames.htm?mapAction=gaz&gazName=g&gazString=NS321962#","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"100","1.5","Tullich Hill","1E","M01E","","632","2073","56","364S","NN293006","NN302015","359","273","NN 29357 00642","rock","rock is 4m N of cairn","Abney level","","Ma,G","","28/10/01 00:00:00","","229353","700649","56.16785","-4.74995","#http://www.streetmap.co.uk/newmap.srf?x=229353&y=700649&z=3&sv=229353,700649&st=4&tl=~&bi=~&lu=N&ar=y#","#http://getamap.ordnancesurvey.co.uk/getamap/frames.htm?mapAction=gaz&gazName=g&gazString=NN293006#","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"101","1.5","The Fruin","1E","M01E","","361","1184","56","347","NS276872","NS261900","192","169","NS 27627 87219","cairn at edge of circular pit","cairn 50m S at NS 27637 87174 is probably lower","","","Ma","","28/10/01 00:00:00","","227623","687226","56.04678","-4.76912","#http://www.streetmap.co.uk/newmap.srf?x=227623&y=687226&z=3&sv=227623,687226&st=4&tl=~&bi=~&lu=N&ar=y#","#http://getamap.ordnancesurvey.co.uk/getamap/frames.htm?mapAction=gaz&gazName=g&gazString=NS276872#","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"1","1.1","Ben Chonzie","1A","M02","","931","3054","51 52","368W 379W","NN773308","NN560276","286","645","NN 77326 30850","cairn/shelter","","Abney level","","Ma,M,Mur","","28/10/01 00:00:00","","277324","730857","56.45385","-3.99206","#http://www.streetmap.co.uk/newmap.srf?x=277324&y=730857&z=3&sv=277324,730857&st=4&tl=~&bi=~&lu=N&ar=y#","#http://getamap.ordnancesurvey.co.uk/getamap/frames.htm?mapAction=gaz&gazName=g&gazString=NN773308#","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"2","1.1","Creagan na Beinne","1A","M01A","","888","2913","51 52","378E","NN744368","NN742343","433","455","NN 74444 36846","cairn","","obvious summit","","Ma,C","","28/10/01 00:00:00","","274442","736854","56.50693","-4.04167","#http://www.streetmap.co.uk/newmap.srf?x=274442&y=736854&z=3&sv=274442,736854&st=4&tl=~&bi=~&lu=N&ar=y#","#http://getamap.ordnancesurvey.co.uk/getamap/frames.htm?mapAction=gaz&gazName=g&gazString=NN744368#","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"3","1.1","Creag Uchdag","1A","M01A","","879","2884","51 52","378E","NN708323","NN761321","606","273","NN 70830 32315","trig point","knoll 90m E is 1.5m lower; ground 30m W is 30cm lower","Abney level","","Ma,C","","28/10/01 00:00:00","","270828","732323","56.46527","-4.0981","#http://www.streetmap.co.uk/newmap.srf?x=270828&y=732323&z=3&sv=270828,732323&st=4&tl=~&bi=~&lu=N&ar=y#","#http://getamap.ordnancesurvey.co.uk/getamap/frames.htm?mapAction=gaz&gazName=g&gazString=NN708323#","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"4","1.1","Auchnafree Hill","1A","M01A","","789","2589","52","368W 379W","NN808308","NN788315","578","211","NN 80865 30805","small cairn","large cairn at NN 80790 30740 is not the summit","obvious summit","","Ma,C","","28/10/01 00:00:00","","280863","730812","56.45435","-3.93465","#http://www.streetmap.co.uk/newmap.srf?x=280863&y=730812&z=3&sv=280863,730812&st=4&tl=~&bi=~&lu=N&ar=y#","#http://getamap.ordnancesurvey.co.uk/getamap/frames.htm?mapAction=gaz&gazName=g&gazString=NN808308#","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"5","1.1","Shee of Ardtalnaig [Ciste Buide a'Claidheimh]","1A","M01A","","759","2490","51 52","378E","NN729351","NN724347","535","224","NN 72956 35162","no feature","30cm higher than cairn 45m NW at NN 72938 35198","Abney level","","Ma,G","","28/10/01 00:00:00","","272954","735170","56.49141","-4.06501","#http://www.streetmap.co.uk/newmap.srf?x=272954&y=735170&z=3&sv=272954,735170&st=4&tl=~&bi=~&lu=N&ar=y#","#http://getamap.ordnancesurvey.co.uk/getamap/frames.htm?mapAction=gaz&gazName=g&gazString=NN729351#","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"6","1.1","Beinn na Gainimh","1A","M01A","","730","2395","52","379W","NN837344","NN828349","442","288","","","","","","Ma,G","","28/10/01 00:00:00","","283700","734400","56.48728","-3.89025","#http://www.streetmap.co.uk/newmap.srf?x=283700&y=734400&z=3&sv=283700,734400&st=4&tl=~&bi=~&lu=N&ar=y#","#http://getamap.ordnancesurvey.co.uk/getamap/frames.htm?mapAction=gaz&gazName=g&gazString=NN837344#","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"7","1.1","Meall Buidhe","1A","M01A","","719","2359","51","365N","NN576275","NN647318","446","273","NN 57682 27573","small cairn","","","","Ma,G","","28/10/01 00:00:00","","257679","727581","56.41892","-4.30874","#http://www.streetmap.co.uk/newmap.srf?x=257679&y=727581&z=3&sv=257679,727581&st=4&tl=~&bi=~&lu=N&ar=y#","#http://getamap.ordnancesurvey.co.uk/getamap/frames.htm?mapAction=gaz&gazName=g&gazString=NN576275#","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"8","1.1","Creag Ruadh","1A","M01A","","712","2336","51","368W","NN674292","NN691322","516","196","NN 67419 29250","cairn on smooth rock","rock 15m away at NN 67400 29250 could be higher","","","Ma,G","","28/10/01 00:00:00","","267417","729257","56.4368","-4.15186","#http://www.streetmap.co.uk/newmap.srf?x=267417&y=729257&z=3&sv=267417,729257&st=4&tl=~&bi=~&lu=N&ar=y#","#http://getamap.ordnancesurvey.co.uk/getamap/frames.htm?mapAction=gaz&gazName=g&gazString=NN674292#","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
